id	group	Use_Intention	Use_Consideration	Debug_Improv	Debug_Product	Debug_Effectiv	Debug_Usefulln	Use_Learning	Mental_Effort	Use_Ease	Debug_Ease	Java_Level	IDE_Level	Junit_Level	Prog_Exper	Prof_Exper	Java_Exper	IDE_Exper	Junit_Exper	Jag_Task	Jag_First	Jag_Time	Jag_Begin	Jag_Middle	Jag_End	Jag_FrList	Jag_FrSlide	Jag_FrText	Jag_ElemInspec	Jag_ShEditor	Jag_ShJUnit	Jag_Breakp	Jag_FaultyElem	Jag_FaultyLine	Jag_FaultyLineEcl	Jag_FaultyMeth	Jag_FaultyMethEcl	Jag_DiffScores	Jag_InspectOrder	Jag_YellowElem	Jag_GreenElem	Jag_SuspElemFirst	Jag_Start	Jag_FrJUnit	Jag_FrDebugger	Jag_BreakElem	Jag_BreakFMethod	Jag_BreakFLine	Jag_BreakAll	Jag_AllLines	Jag_AllMethods	Ecl_Task	Ecl_Time	Ecl_FrJunit	Ecl_FrDebugger	Ecl_BreakFMethod	Ecl_BreakFLine	Ecl_BreakAll	Ecl_MethInspect	Ecl_LineInspect	Ecl_AllLines	Ecl_AllMethods	Jag_MethOrLine	Jag_Result	Ecl_Result
41774821	7	2	2	4	2	5	2	2	1	1	4	2	1	1	3	0	3	2	0	xstream	no	41,6	yes	yes	yes	472	1	0	218	29	0	0	3	4	0	147	0	17	4	27	93	yes	yes	1	0	0	0	0	0	454	383	jsoup	33,8	10	2	0	0	0	4	23	185	119	L	NotFound	NotFound
57031507	7	1	1	2	1	1	1	1	1	1	2	3	2	3	3	1	3	1	1	xstream	no	30,8	yes	yes	yes	29	1	0	15	4	0	0	0	0	3	127	8	2	4	0	0	yes	yes	4	0	0	0	0	0	181	157	jsoup	10,0	2	0	0	0	0	2	5	14	9	L	NotFound	NotFound
52664014	1	1	1	1	2	2	1	2	1	3	2	1	1	1	5	0	5	5	1	jsoup	yes	23,1	yes	yes	yes	13	0	0	1	5	1	0	0	0	0	0	0	1	1	0	0	yes	yes	12	1	0	0	0	0	54	52	xstream	20,3	6	0	0	0	0	0	0	0	0	M	NotFound	NotFound
79246700	1	2	1	1	1	2	2	1	2	1	3	1	1	1	2	0	1	1	0	jsoup	yes	108,4	yes	yes	yes	103	0	0	14	4	0	10	0	61	0	311	74	5	1	0	0	yes	yes	65	31	22	7	1	34	1171	915	xstream	32,3	11	8	14	0	14	2	23	98	78	M	Found	NotFound
52489495	8	7	7	7	7	7	7	7	7	7	7	2	1	1	4	3	4	2	1	jsoup	no	37,0	yes	no	yes	38	0	1	13	8	0	0	0	2	12	9	175	5	2	0	0	yes	no	27	0	0	0	0	0	175	118	xstream	366,1	43	6	6	0	6	3	53	297	217	L	Found	Found
69911656	6	2	1	1	2	2	1	2	2	2	2	2	2	1	10	9	10	9	1	xstream	yes	7,8	no	yes	no	4	0	0	2	1	0	3	0	3	0	9	0	1	2	0	0	yes	no	2	0	0	0	0	0	10	8	jsoup	17,9	4	9	0	0	3	1	1	74	1	L	Found	NotFound
10949721	2	4	4	2	3	2	1	1	1	1	1	1	1	1	3	0	3	3	0	xstream	yes	32,4	yes	yes	yes	12	3	3	6	4	1	0	6	5	0	10	0	5	1	1	0	yes	yes	7	0	0	0	0	0	19	15	jsoup	28,0	6	0	0	0	0	1	4	27	18	M	Found	NotFound
31191753	8	7	6	6	7	7	7	7	7	7	7	1	1	1	1	0	1	1	0	jsoup	no	36,3	yes	yes	yes	52	0	0	18	4	0	0	0	0	0	0	9	8	1	1	2	yes	yes	3	0	0	0	0	0	71	58	xstream	23,4	3	0	0	0	0	3	4	23	16	L	NotFound	NotFound
11249486	1	1	2	1	3	2	1	2	2	1	2	1	1	0	4	1	3	2	0	jsoup	yes	13,3	yes	no	no	8	0	0	4	1	0	0	0	2	3	7	12	4	4	0	0	yes	no	3	0	0	0	0	0	16	11	xstream	4,7	4	0	0	0	0	1	8	12	11	M	Found	Found
18712289	4	3	3	2	2	1	1	2	1	1	2	1	1	1	5	1	3	3	0	jsoup	no	61,3	yes	yes	yes	29	1	0	4	5	1	0	0	0	0	0	0	4	2	1	0	yes	no	10	2	0	0	0	0	78	53	xstream	8,5	1	0	0	0	0	0	0	0	0	M	NotFound	NotFound
65595438	2	2	1	1	2	2	2	1	1	1	1	1	1	0	4	0	3	3	0	xstream	yes	9,9	yes	yes	yes	46	0	0	10	9	0	0	0	7	0	118	0	2	0	0	0	no	yes	1	0	0	0	0	1	125	104	jsoup	21,0	4	0	0	0	0	0	0	0	0	M	Found	NotFound
11074943	6	4	4	7	6	6	3	3	1	2	4	2	2	0	4	2	4	4	0	xstream	yes	37,1	no	yes	yes	26	1	0	12	4	0	0	0	1	0	34	0	2	2	0	0	yes	no	3	0	0	0	0	0	38	35	jsoup	19,3	3	0	0	0	0	0	0	29	0	L	NotFound	NotFound
